pedido_id,fecha_pedido,hub_origen,destino,ruta,paquetes_asignados,paquetes_pendientes,tiempo_entrega
0000001,01/08:15,EBCI,UMMS,EBCI->UMMS (4.1h),129,0,4.12
0000002,01/19:45,UBBB,OAKB,UBBB->OAKB (4.3h),129,0,4.27
0000003,01/05:30,UBBB,VIDP,UBBB->OAKB (4.3h) | OAKB->VIDP (2.3h),130,0,6.53
0000004,01/11:20,SPIM,SKBO,SPIM->SKBO (4.3h),130,0,4.27
0000005,01/16:08,SPIM,SEQM,SPIM->SKBO (4.3h) | SKBO->SEQM (1.8h),130,0,6.05
0000006,01/02:55,EBCI,EHAM,EBCI->EHAM (1.3h),130,0,1.27
0000007,01/22:10,EBCI,LBSF,EBCI->EHAM (1.3h) | EHAM->LBSF (4.3h),130,0,5.53
0000008,02/09:30,EBCI,UMMS,EBCI->EHAM (1.3h) | EHAM->LBSF (4.3h) | LBSF->LDZA (1.8h) | LDZA->UMMS (2.6h),100,31,9.90
0000008,02/09:30,EBCI,UMMS,EBCI->UMMS (4.1h),31,0,4.12
0000009,02/18:05,EBCI,LBSF,EBCI->LBSF (4.2h),131,0,4.15
0000010,02/03:25,SPIM,SVMI,SPIM->SKBO (4.3h) | SKBO->SVMI (2.4h),80,52,6.65
0000010,02/03:25,SPIM,SVMI,SPIM->SVMI (5.4h),52,0,5.43
0000011,02/17:40,UBBB,VIDP,UBBB->OERK (4.3h) | OERK->VIDP (4.9h),132,0,9.20
0000012,02/12:10,UBBB,OERK,UBBB->OERK (4.3h),132,0,4.28
0000013,02/06:50,UBBB,OSDI,UBBB->OERK (4.3h) | OERK->OJAI (2.7h) | OJAI->OSDI (1.3h),76,56,8.25
0000013,02/06:50,UBBB,OSDI,UBBB->OSDI (2.9h),56,0,2.85
0000014,03/10:00,EBCI,EKCH,EBCI->EKCH (2.0h),134,0,1.97
0000015,03/21:55,EBCI,EKCH,EBCI->EKCH (2.0h),134,0,1.97
0000016,03/08:20,UBBB,OAKB,UBBB->OAKB (4.3h),61,73,4.27
0000016,03/08:20,UBBB,OAKB,UBBB->OAKB (4.3h),73,0,4.27
0000017,03/15:40,EBCI,LATI,EBCI->EDDI (1.8h) | EDDI->LDZA (3.0h) | LDZA->LATI (1.6h),134,0,6.48
0000018,03/04:10,EBCI,LKPR,EBCI->EDDI (1.8h) | EDDI->LDZA (3.0h) | LDZA->LATI (1.6h) | LATI->LKPR (3.4h),135,0,9.83
0000019,03/23:00,UBBB,OPKC,UBBB->OAKB (4.3h) | OAKB->VIDP (3.3h) | VIDP->OPKC (3.4h),135,0,10.90
0000020,04/13:50,UBBB,OAKB,UBBB->OAKB (4.3h),136,0,4.27
0000021,04/01:05,SPIM,SEQM,SPIM->SEQM (3.7h),136,0,3.68
0000022,04/18:20,SPIM,SGAS,SPIM->SEQM (3.7h) | SEQM->SKBO (1.8h) | SKBO->SGAS (5.7h),137,0,11.13
0000023,04/07:35,UBBB,OSDI,UBBB->OSDI (2.9h),137,0,2.85
0000024,04/12:15,EBCI,EDDI,EBCI->EDDI (1.8h),137,0,1.83
0000025,04/20:40,SPIM,SEQM,SPIM->SEQM (3.7h),47,90,3.68
0000025,04/20:40,SPIM,SEQM,SPIM->SEQM (3.7h),90,0,3.68
0000026,05/09:05,EBCI,LBSF,EBCI->LBSF (4.2h),139,0,4.15
0000027,05/17:30,EBCI,EHAM,EBCI->LBSF (4.2h) | LBSF->EDDI (2.7h) | EDDI->EHAM (1.8h),139,0,8.60
0000028,05/02:45,UBBB,VIDP,UBBB->OMDB (4.2h) | OMDB->VIDP (3.8h),139,0,7.93
0000029,05/14:10,UBBB,OPKC,UBBB->OMDB (4.2h) | OMDB->VIDP (3.8h) | VIDP->OPKC (3.4h),140,0,11.30
0000030,05/21:55,SPIM,SBBR,SPIM->SLLP (3.3h) | SLLP->SBBR (3.8h),140,0,7.17
0000031,06/03:30,SPIM,SLLP,SPIM->SLLP (3.3h),141,0,3.33
0000032,06/16:00,SPIM,SCEL,SPIM->SLLP (3.3h) | SLLP->SCEL (3.4h),39,102,6.72
0000032,06/16:00,SPIM,SCEL,SPIM->SCEL (4.1h),102,0,4.07
0000033,06/08:45,SPIM,SABE,SPIM->SABE (4.9h),142,0,4.90
0000034,06/11:20,SPIM,SGAS,SPIM->SABE (4.9h) | SABE->SGAS (3.3h),142,0,8.15
0000035,06/22:15,SPIM,SUAA,SPIM->SABE (4.9h) | SABE->SGAS (3.3h) | SGAS->SUAA (2.3h),16,126,10.40
0000035,06/22:15,SPIM,SUAA,SPIM->SUAA (6.1h),126,0,6.07
0000036,07/07:00,EBCI,LATI,EBCI->LATI (2.9h),143,0,2.92
0000037,07/20:25,EBCI,EDDI,EBCI->LATI (2.9h) | LATI->EDDI (2.6h),143,0,5.55
0000038,07/13:10,EBCI,LOWW,EBCI->LATI (2.9h) | LATI->EDDI (2.6h) | EDDI->LOWW (1.6h),74,70,7.17
0000038,07/13:10,EBCI,LOWW,EBCI->LOWW (2.1h),70,0,2.13
0000039,07/04:35,EBCI,LKPR,EBCI->LKPR (1.9h),144,0,1.88
0000040,07/19:50,EBCI,LDZA,EBCI->LKPR (1.9h) | LKPR->LDZA (2.7h),144,0,4.60
0000041,08/01:20,EBCI,EKCH,EBCI->LKPR (1.9h) | LKPR->LDZA (2.7h) | LDZA->LOWW (2.4h) | LOWW->EDDI (1.6h) | EDDI->EKCH (2.4h),12,134,11.05
0000041,08/01:20,EBCI,EKCH,EBCI->EKCH (2.0h),134,0,1.97
0000042,08/14:45,EBCI,EHAM,EBCI->EHAM (1.3h),146,0,1.27
0000043,08/05:55,UBBB,VIDP,UBBB->VIDP (4.5h),146,0,4.52
0000044,08/18:30,UBBB,OSDI,UBBB->VIDP (4.5h) | VIDP->OSDI (6.0h),147,0,10.47
0000045,08/09:15,UBBB,OERK,UBBB->VIDP (4.5h) | VIDP->OSDI (6.0h) | OSDI->OERK (2.8h),27,120,13.22
0000045,08/09:15,UBBB,OERK,UBBB->OERK (3.3h),120,0,3.28
0000046,09/22:40,UBBB,OOMS,UBBB->OOMS (4.6h),148,0,4.55
0000047,09/10:25,UBBB,OYSN,UBBB->OOMS (4.6h) | OOMS->OYSN (4.2h),148,0,8.70
0000048,09/04:50,UBBB,OMDB,UBBB->OOMS (4.6h) | OOMS->OYSN (4.2h) | OYSN->OMDB (4.0h),4,145,12.70
0000048,09/04:50,UBBB,OMDB,UBBB->OMDB (4.2h),145,0,4.17
0000049,09/17:05,UBBB,OJAI,UBBB->OOMS (3.6h) | OOMS->OYSN (4.2h) | OYSN->OMDB (4.0h) | OMDB->OERK (3.2h) | OERK->OJAI (2.7h),149,0,17.52
0000050,09/02:15,EBCI,UMMS,EBCI->UMMS (4.1h),149,0,4.12
0000051,10/15:30,EBCI,LATI,EBCI->UMMS (4.1h) | UMMS->LKPR (3.3h) | LKPR->LOWW (2.3h) | LOWW->LATI (3.0h),150,0,12.75
0000052,10/07:15,EBCI,EDDI,EBCI->UMMS (4.1h) | UMMS->LKPR (3.3h) | LKPR->LOWW (2.3h) | LOWW->LATI (3.0h) | LATI->EDDI (2.6h),1,149,15.38
0000052,10/07:15,EBCI,EDDI,EBCI->EDDI (1.8h),149,0,1.83
0000053,10/20:40,EBCI,LOWW,EBCI->LOWW (2.1h),151,0,2.13
0000054,10/12:55,EBCI,LKPR,EBCI->LOWW (2.1h) | LOWW->LKPR (1.3h),139,12,3.47
0000054,10/12:55,EBCI,LKPR,EBCI->LKPR (1.9h),12,0,1.88
0000055,10/03:20,EBCI,LDZA,EBCI->LDZA (3.3h),151,0,3.32
0000056,11/06:00,EBCI,EKCH,EBCI->LDZA (3.3h) | LDZA->EKCH (2.4h),152,0,5.75
0000057,11/19:15,EBCI,EHAM,EBCI->LDZA (3.3h) | LDZA->EKCH (2.4h) | EKCH->EHAM (1.8h),57,95,7.53
0000057,11/19:15,EBCI,EHAM,EBCI->EHAM (1.3h),95,0,1.27
0000058,11/10:40,UBBB,VIDP,UBBB->VIDP (5.5h),153,0,5.52
0000059,11/01:50,UBBB,OSDI,UBBB->VIDP (5.5h) | VIDP->OSDI (6.0h),153,0,11.47
0000060,11/16:35,UBBB,OERK,UBBB->VIDP (5.5h) | VIDP->OSDI (6.0h) | OSDI->OERK (2.8h),13,141,14.22
